"","PL14ST_1","pct","n","VAGUE","TAILLEECH"
"1","Renforcé",29.8,3112.2,"2024-07-26",11204
"2","Affaibli",47.7,4984.2,"2024-07-26",11204
"3","Ni renforcé, ni affaibli",22.4,2342.3,"2024-07-26",11204
