"","Y7PCSIST","Y7PL4ST","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","Agriculteur exploitant, artisan, commerçant, chef d'entreprise","Sentiment positif (joie, espoir ou soulagement)",40.021093197534,516.528671725919,328,"2024-07-26",11204
"2","Agriculteur exploitant, artisan, commerçant, chef d'entreprise","Indifférence",11.4303609745381,516.528671725919,328,"2024-07-26",11204
"3","Agriculteur exploitant, artisan, commerçant, chef d'entreprise","Sentiment négatif (déception, colère ou peur)",48.5485458279279,516.528671725919,328,"2024-07-26",11204
"4","Cadre supérieur","Sentiment positif (joie, espoir ou soulagement)",39.1615132950137,1206.74578798005,1686,"2024-07-26",11204
"5","Cadre supérieur","Indifférence",11.1031231686883,1206.74578798005,1686,"2024-07-26",11204
"6","Cadre supérieur","Sentiment négatif (déception, colère ou peur)",49.735363536298,1206.74578798005,1686,"2024-07-26",11204
"7","Profession intermédiaire","Sentiment positif (joie, espoir ou soulagement)",32.2671877972502,1766.97208674363,1553,"2024-07-26",11204
"8","Profession intermédiaire","Indifférence",13.2663501040715,1766.97208674363,1553,"2024-07-26",11204
"9","Profession intermédiaire","Sentiment négatif (déception, colère ou peur)",54.4664620986784,1766.97208674363,1553,"2024-07-26",11204
"10","Employé","Sentiment positif (joie, espoir ou soulagement)",31.5803074571767,1868.9437374952,1831,"2024-07-26",11204
"11","Employé","Indifférence",14.7320876497395,1868.9437374952,1831,"2024-07-26",11204
"12","Employé","Sentiment négatif (déception, colère ou peur)",53.6876048930838,1868.9437374952,1831,"2024-07-26",11204
"13","Ouvrier","Sentiment positif (joie, espoir ou soulagement)",21.6695936231444,1334.46893188754,996,"2024-07-26",11204
"14","Ouvrier","Indifférence",17.4774706371555,1334.46893188754,996,"2024-07-26",11204
"15","Ouvrier","Sentiment négatif (déception, colère ou peur)",60.8529357397001,1334.46893188754,996,"2024-07-26",11204
"16","Retraité, inactif","Sentiment positif (joie, espoir ou soulagement)",32.1389756784037,4510.34078416765,4810,"2024-07-26",11204
"17","Retraité, inactif","Indifférence",9.33690669170815,4510.34078416765,4810,"2024-07-26",11204
"18","Retraité, inactif","Sentiment négatif (déception, colère ou peur)",58.5241176298882,4510.34078416765,4810,"2024-07-26",11204
