"","PL3ST_2","pct","n","VAGUE","TAILLEECH"
"1","Vous partagez les propositions du Rassemblement national sur les questions sociales",8.5,947.6,"2024-07-26",11204
"2","Non réponse",91.5,10256.4,"2024-07-26",11204
