,PCSIST,CERTST3,pct,n,unweighted_n,VAGUE
1,"Agriculteur exploitant, artisan,<br>commerçant, chef d'entreprise",3,33.5302223889338,489.026581498726,364,2023-06-16
2,Cadre supérieur,3,51.3033565923958,1105.6248633721,1555,2023-06-16
3,Profession intermédiaire,3,40.5117022538236,1658.43481134067,1610,2023-06-16
4,Employé,3,37.7591206865569,1817.90092356543,1776,2023-06-16
5,Ouvrier,3,35.2643330539043,1307.61189746112,926,2023-06-16
6,"Retraité, inactif",3,56.0197784834629,4252.40092276193,4400,2023-06-16
7,"Agriculteur exploitant, artisan,<br>commerçant, chef d'entreprise",3,31.4815033599589,534.359918678615,381,2023-11-29
8,Cadre supérieur,3,47.0166115470571,1231.26559397464,1635,2023-11-29
9,Profession intermédiaire,3,39.889579705087,1831.10589064928,1746,2023-11-29
10,Employé,3,33.2734448583519,1977.28034438055,1912,2023-11-29
11,Ouvrier,3,30.9348926192332,1413.67131094067,1081,2023-11-29
12,"Retraité, inactif",3,53.1777810630456,4703.31694137618,4936,2023-11-29
13,"Agriculteur exploitant, artisan,<br>commerçant, chef d'entreprise",3,40.9022993548123,542.620398848469,377,2024-03-01
14,Cadre supérieur,3,59.0630294968639,1267.69898127177,1657,2024-03-01
15,Profession intermédiaire,3,53.0456393347664,1856.22499988337,1672,2024-03-01
16,Employé,3,46.1021420435304,1963.34546811216,1872,2024-03-01
17,Ouvrier,3,46.375255968144,1401.87993406682,1153,2024-03-01
18,"Retraité, inactif",3,65.8643820556483,4738.23021781734,5039,2024-03-01
19,"Agriculteur exploitant, artisan,<br>commerçant, chef d'entreprise",3,44.9423713076036,491.036476984955,326,2024-04-19
20,Cadre supérieur,3,59.701632471039,1147.18276360461,1496,2024-04-19
21,Profession intermédiaire,3,55.4272437878909,1679.76112921358,1507,2024-04-19
22,Employé,3,46.7943092010751,1776.70160350491,1815,2024-04-19
23,Ouvrier,3,47.2675592111113,1268.60741062395,1165,2024-04-19
24,"Retraité, inactif",3,67.0260338711284,4287.71061606797,4342,2024-04-19
25,"Agriculteur exploitant, artisan,<br>commerçant, chef d'entreprise",3,49.8953085187325,526.950492848615,357,2024-05-27
26,Cadre supérieur,3,63.0567965454883,1231.0908921936,1665,2024-05-27
27,Profession intermédiaire,3,57.7866694066459,1802.62066417578,1632,2024-05-27
28,Employé,3,51.4249543883684,1906.65136624547,1875,2024-05-27
29,Ouvrier,3,51.6727431440745,1361.3941314569,1097,2024-05-27
30,"Retraité, inactif",3,69.8823393893646,4601.29245307962,4804,2024-05-27
