"","Y2AGERST","Y2CERTST","pct","n","unweighted_n"
"1","18 à 34 ans","1",18.1243924890555,3009.03538587645,1826
"2","18 à 34 ans","2",60.4273977630176,3009.03538587645,1826
"3","18 à 34 ans","3",21.448209747927,3009.03538587645,1826
"4","35 à 59 ans","1",17.7570547664206,4552.16351788842,4975
"5","35 à 59 ans","2",52.6184666936572,4552.16351788842,4975
"6","35 à 59 ans","3",29.6244785399223,4552.16351788842,4975
"7","60 ans et plus","1",9.0096342898567,4129.80109623506,4890
"8","60 ans et plus","2",44.7524954795902,4129.80109623506,4890
"9","60 ans et plus","3",46.2378702305531,4129.80109623506,4890
