"","EDUST","CERTST1","pct","n","unweighted_n","VAGUE"
"1","Aucun diplôme","1",31.3117660054495,419.13976691848,352,"2023-06-16"
"2","CAP, BEP","1",29.1814980392663,2051.42934195858,1901,"2023-06-16"
"3","Baccalauréat","1",33.5363681907101,2570.79946473318,2409,"2023-06-16"
"4","Bac +2","1",30.8268391249124,2314.62737622095,2418,"2023-06-16"
"5","Bac +3 et plus","1",24.7923484604671,3275.0040501688,3551,"2023-06-16"
"6","Aucun diplôme","1",32.3627532980145,451.0139946294,386,"2023-11-29"
"7","CAP, BEP","1",32.2339871065805,2253.16770913381,2139,"2023-11-29"
"8","Baccalauréat","1",33.9778489621114,2858.56365842357,2675,"2023-11-29"
"9","Bac +2","1",28.8612380303987,2517.88882708638,2614,"2023-11-29"
"10","Bac +3 et plus","1",24.506042908713,3610.36581072678,3877,"2023-11-29"
"11","Aucun diplôme","1",23.5762696326301,447.85605060067,388,"2024-03-01"
"12","CAP, BEP","1",22.06967438939,2255.27403445461,2158,"2024-03-01"
"13","Baccalauréat","1",23.6279645418754,2820.35478260972,2651,"2024-03-01"
"14","Bac +2","1",21.6223975540012,2539.70069860879,2639,"2024-03-01"
"15","Bac +3 et plus","1",18.6743796039251,3706.81443372615,3934,"2024-03-01"
"16","Aucun diplôme","1",24.2325536718623,398.051008852833,346,"2024-04-19"
"17","CAP, BEP","1",22.0988364423293,2059.95778356335,1940,"2024-04-19"
"18","Baccalauréat","1",22.7754631042672,2583.84123903332,2455,"2024-04-19"
"19","Bac +2","1",21.0853908632945,2316.29346074713,2399,"2024-04-19"
"20","Bac +3 et plus","1",17.9869534520114,3292.85650780335,3511,"2024-04-19"
"21","Aucun diplôme","1",24.81233361263,455.687676717968,387,"2024-05-27"
"22","CAP, BEP","1",18.3955600638085,2079.31120332721,1934,"2024-05-27"
"23","Baccalauréat","1",19.7383257118349,2789.56937864278,2625,"2024-05-27"
"24","Bac +2","1",19.9515945216709,2499.28141076775,2573,"2024-05-27"
"25","Bac +3 et plus","1",16.9820769058975,3606.15033054427,3911,"2024-05-27"
