"","Y1EMPST","Y1CERTST","pct","n","unweighted_n"
"1","Salarié","1",16.7794945736237,5587.71611089093,5507
"2","Salarié","2",52.4519566450987,5587.71611089093,5507
"3","Salarié","3",30.7685487812776,5587.71611089093,5507
"4","Indépendant","1",17.9470293266812,419.008088588747,400
"5","Indépendant","2",47.3992321611112,419.008088588747,400
"6","Indépendant","3",34.6537385122076,419.008088588747,400
"7","Sans emploi","1",11.5270255982306,4624.27580052031,4724
"8","Sans emploi","2",44.4612439413698,4624.27580052031,4724
"9","Sans emploi","3",44.0117304603995,4624.27580052031,4724
