"","Y3REG13ST","Y3CERTST","pct","n","unweighted_n"
"1","Île-de-France","1",9.17805947069911,1989.12977512681,2005
"2","Île-de-France","2",47.5971681361321,1989.12977512681,2005
"3","Île-de-France","3",43.2247723931688,1989.12977512681,2005
"4","Centre - Val de Loire","1",12.7140727546077,473.153291436298,526
"5","Centre - Val de Loire","2",42.4297382823953,473.153291436298,526
"6","Centre - Val de Loire","3",44.856188962997,473.153291436298,526
"7","Bourgogne - Franche-Comté","1",13.0384604607307,521.410915120367,538
"8","Bourgogne - Franche-Comté","2",43.0822544685512,521.410915120367,538
"9","Bourgogne - Franche-Comté","3",43.8792850707181,521.410915120367,538
"10","Normandie","1",10.6921830191755,624.989024671907,611
"11","Normandie","2",44.8487130181957,624.989024671907,611
"12","Normandie","3",44.4591039626288,624.989024671907,611
"13","Hauts-de-France","1",10.6592302321084,1096.96470775197,1125
"14","Hauts-de-France","2",44.2090791502483,1096.96470775197,1125
"15","Hauts-de-France","3",45.1316906176433,1096.96470775197,1125
"16","Grand Est","1",11.5112226124843,1016.92990235206,1031
"17","Grand Est","2",43.3005490102547,1016.92990235206,1031
"18","Grand Est","3",45.1882283772609,1016.92990235206,1031
"19","Pays de la Loire","1",12.1609627293524,712.086632606909,724
"20","Pays de la Loire","2",48.8389707119253,712.086632606909,724
"21","Pays de la Loire","3",39.0000665587223,712.086632606909,724
"22","Bretagne","1",10.7705273801377,639.11143841454,686
"23","Bretagne","2",46.2571911436557,639.11143841454,686
"24","Bretagne","3",42.9722814762066,639.11143841454,686
"25","Nouvelle-Aquitaine","1",11.8778954233372,1142.86596182415,1058
"26","Nouvelle-Aquitaine","2",43.4535374583323,1142.86596182415,1058
"27","Nouvelle-Aquitaine","3",44.6685671183305,1142.86596182415,1058
"28","Occitanie","1",9.76864159131309,1107.5546107606,1134
"29","Occitanie","2",44.8719078520315,1107.5546107606,1134
"30","Occitanie","3",45.3594505566554,1107.5546107606,1134
"31","Auvergne-Rhône-Alpes","1",12.3134546076892,1451.24242539711,1423
"32","Auvergne-Rhône-Alpes","2",45.1925099907217,1451.24242539711,1423
"33","Auvergne-Rhône-Alpes","3",42.4940354015891,1451.24242539711,1423
"34","Provence-Alpes-Côte d'Azur","1",11.6266380912705,959.737402465736,880
"35","Provence-Alpes-Côte d'Azur","2",39.2500915558456,959.737402465736,880
"36","Provence-Alpes-Côte d'Azur","3",49.1232703528839,959.737402465736,880
"37","Corse","1",12.6893795966636,34.8239120714758,29
"38","Corse","2",42.3733478705833,34.8239120714758,29
"39","Corse","3",44.9372725327531,34.8239120714758,29
