"","Y3PROXST","Y3CERTST","pct","n","unweighted_n"
"1","Lutte Ouvrière","1",8.35148035985708,75.0377922339645,59
"2","Lutte Ouvrière","2",72.2922601326515,75.0377922339645,59
"3","Lutte Ouvrière","3",19.3562595074914,75.0377922339645,59
"4","Nouveau Parti Anticapitaliste","1",10.2160109532169,132.21505256665,101
"5","Nouveau Parti Anticapitaliste","2",55.2679687640705,132.21505256665,101
"6","Nouveau Parti Anticapitaliste","3",34.5160202827126,132.21505256665,101
"7","Parti Communiste Français","1",6.10788584083864,290.985899639642,292
"8","Parti Communiste Français","2",36.8905012949996,290.985899639642,292
"9","Parti Communiste Français","3",57.0016128641618,290.985899639642,292
"10","France Insoumise","1",10.4347188778878,780.190767367711,627
"11","France Insoumise","2",46.795218917604,780.190767367711,627
"12","France Insoumise","3",42.7700622045083,780.190767367711,627
"13","Parti Socialiste","1",5.94729387703176,964.651815578579,1055
"14","Parti Socialiste","2",40.2876626303183,964.651815578579,1055
"15","Parti Socialiste","3",53.7650434926499,964.651815578579,1055
"16","Europe Ecologie - Les Verts","1",3.6380423828342,702.714727550207,689
"17","Europe Ecologie - Les Verts","2",48.1826066385993,702.714727550207,689
"18","Europe Ecologie - Les Verts","3",48.1793509785665,702.714727550207,689
"19","La République En Marche !, désormais Renaissance","1",4.78734309481449,1254.64505560806,1291
"20","La République En Marche !, désormais Renaissance","2",41.3185547515931,1254.64505560806,1291
"21","La République En Marche !, désormais Renaissance","3",53.8941021535924,1254.64505560806,1291
"22","Le MoDem (Mouvement Démocrate)","1",6.33912394256759,215.919871853505,254
"23","Le MoDem (Mouvement Démocrate)","2",41.5476106987098,215.919871853505,254
"24","Le MoDem (Mouvement Démocrate)","3",52.1132653587226,215.919871853505,254
"25","Horizons","1",6.47786800502729,111.519362756439,131
"26","Horizons","2",40.2772405349134,111.519362756439,131
"27","Horizons","3",53.2448914600593,111.519362756439,131
"28","L’UDI (Union des Démocrates et Indépendants)","1",2.96982374982281,112.446647299079,132
"29","L’UDI (Union des Démocrates et Indépendants)","2",47.1036607314817,112.446647299079,132
"30","L’UDI (Union des Démocrates et Indépendants)","3",49.9265155186955,112.446647299079,132
"31","Les Républicains","1",3.89961346226646,738.684741974472,921
"32","Les Républicains","2",44.4763649856375,738.684741974472,921
"33","Les Républicains","3",51.624021552096,738.684741974472,921
"34","Debout la France","1",6.14850759232722,177.44834823907,200
"35","Debout la France","2",34.0101943978635,177.44834823907,200
"36","Debout la France","3",59.8412980098093,177.44834823907,200
"37","Rassemblement national (ex Front National)","1",6.94441201305602,2243.20966169115,2095
"38","Rassemblement national (ex Front National)","2",39.9294289961895,2243.20966169115,2095
"39","Rassemblement national (ex Front National)","3",53.1261589907545,2243.20966169115,2095
"40","Reconquête!","1",4.95733745661451,325.12158856445,331
"41","Reconquête!","2",28.0468778581855,325.12158856445,331
"42","Reconquête!","3",66.9957846852,325.12158856445,331
"43","Autre parti","1",17.1172279331283,187.823190825594,196
"44","Autre parti","2",46.228444271477,187.823190825594,196
"45","Autre parti","3",36.6543277953947,187.823190825594,196
"46","Aucun parti","1",22.4402150430205,3456.40382225857,3395
"47","Aucun parti","2",51.0793888697449,3456.40382225857,3395
"48","Aucun parti","3",26.4803960872346,3456.40382225857,3395
