"","Y2Q7ST","Y2CERTST","pct","n","unweighted_n"
"1","A gauche","1",13.751936787583,2654.10228855637,2595
"2","A gauche","2",19.6660316692075,2654.10228855637,2595
"3","A gauche","3",66.5820315432095,2654.10228855637,2595
"4","Ni à gauche, ni à droite","1",12.9599332125362,3834.16870385492,3931
"5","Ni à gauche, ni à droite","2",24.4650422622624,3834.16870385492,3931
"6","Ni à gauche, ni à droite","3",62.5750245252013,3834.16870385492,3931
"7","A droite","1",8.96841648499914,3728.04934111559,3868
"8","A droite","2",14.4056602733182,3728.04934111559,3868
"9","A droite","3",76.6259232416826,3728.04934111559,3868
