"","Y2EMPST","Y2CERTST","pct","n","unweighted_n"
"1","Salarié","1",16.2163244348919,6127.72609645145,5972
"2","Salarié","2",23.2863869021224,6127.72609645145,5972
"3","Salarié","3",60.4972886629856,6127.72609645145,5972
"4","Indépendant","1",17.9756405653912,425.041824397412,408
"5","Indépendant","2",22.4676109949553,425.041824397412,408
"6","Indépendant","3",59.5567484396535,425.041824397412,408
"7","Sans emploi","1",12.7608792884364,5138.23207915107,5311
"8","Sans emploi","2",17.5492182541955,5138.23207915107,5311
"9","Sans emploi","3",69.6899024573682,5138.23207915107,5311
