"","Y2PCSIST","Y2CERTST","pct","n","unweighted_n"
"1","Agriculteur exploitant, artisan, commerçant, chef d'entreprise","1",12.4678401027495,534.359918678615,381
"2","Agriculteur exploitant, artisan, commerçant, chef d'entreprise","2",64.7115567140668,534.359918678615,381
"3","Agriculteur exploitant, artisan, commerçant, chef d'entreprise","3",22.8206031831836,534.359918678615,381
"4","Cadre supérieur","1",9.13614649926323,1231.26559397464,1635
"5","Cadre supérieur","2",55.6701629629736,1231.26559397464,1635
"6","Cadre supérieur","3",35.1936905377632,1231.26559397464,1635
"7","Profession intermédiaire","1",15.5674176429259,1831.10589064928,1746
"8","Profession intermédiaire","2",53.9615917335772,1831.10589064928,1746
"9","Profession intermédiaire","3",30.4709906234969,1831.10589064928,1746
"10","Employé","1",18.9693577077556,1977.28034438055,1912
"11","Employé","2",56.9537833366915,1977.28034438055,1912
"12","Employé","3",24.0768589555529,1977.28034438055,1912
"13","Ouvrier","1",22.2167468976206,1413.67131094067,1081
"14","Ouvrier","2",53.3625698373433,1413.67131094067,1081
"15","Ouvrier","3",24.4206832650361,1413.67131094067,1081
"16","Retraité, inactif","1",12.171433618042,4703.31694137618,4936
"17","Retraité, inactif","2",45.965605306083,4703.31694137618,4936
"18","Retraité, inactif","3",41.8629610758749,4703.31694137618,4936
