"","Y4REG13ST","Y4CERTST","pct","n","unweighted_n"
"1","Île-de-France","1",9.21815660039309,1800.01923040938,1844
"2","Île-de-France","2",48.1715908935306,1800.01923040938,1844
"3","Île-de-France","3",42.6102525060763,1800.01923040938,1844
"4","Centre - Val de Loire","1",9.94294494396644,428.171206942708,448
"5","Centre - Val de Loire","2",46.023499595997,428.171206942708,448
"6","Centre - Val de Loire","3",44.0335554600366,428.171206942708,448
"7","Bourgogne - Franche-Comté","1",11.8547651462173,471.839438376226,477
"8","Bourgogne - Franche-Comté","2",45.1074940427636,471.839438376226,477
"9","Bourgogne - Franche-Comté","3",43.0377408110191,471.839438376226,477
"10","Normandie","1",9.06162671551305,565.569721243525,545
"11","Normandie","2",45.6452792292808,565.569721243525,545
"12","Normandie","3",45.2930940552061,565.569721243525,545
"13","Hauts-de-France","1",8.6934812647566,992.673078387027,1033
"14","Hauts-de-France","2",46.2912255391161,992.673078387027,1033
"15","Hauts-de-France","3",45.0152931961273,992.673078387027,1033
"16","Grand Est","1",11.7390697062957,920.246940541317,947
"17","Grand Est","2",44.59028067183,920.246940541317,947
"18","Grand Est","3",43.6706496218744,920.246940541317,947
"19","Pays de la Loire","1",12.174938527231,644.387807843849,653
"20","Pays de la Loire","2",49.6206763451145,644.387807843849,653
"21","Pays de la Loire","3",38.2043851276545,644.387807843849,653
"22","Bretagne","1",10.7662670751361,578.350322485695,635
"23","Bretagne","2",43.4064847987475,578.350322485695,635
"24","Bretagne","3",45.8272481261164,578.350322485695,635
"25","Nouvelle-Aquitaine","1",8.97525661850695,1034.20895206727,939
"26","Nouvelle-Aquitaine","2",44.8436625173027,1034.20895206727,939
"27","Nouvelle-Aquitaine","3",46.1810808641903,1034.20895206727,939
"28","Occitanie","1",10.3114058862695,1002.2566329692,1029
"29","Occitanie","2",40.4045935725292,1002.2566329692,1029
"30","Occitanie","3",49.2840005412013,1002.2566329692,1029
"31","Auvergne-Rhône-Alpes","1",10.3772647445003,1313.26961451087,1267
"32","Auvergne-Rhône-Alpes","2",44.8667334551938,1313.26961451087,1267
"33","Auvergne-Rhône-Alpes","3",44.7560018003059,1313.26961451087,1267
"34","Provence-Alpes-Côte d'Azur","1",8.97342011663058,872.491118329404,810
"35","Provence-Alpes-Côte d'Azur","2",41.4299918765776,872.491118329404,810
"36","Provence-Alpes-Côte d'Azur","3",49.5965880067918,872.491118329404,810
"37","Corse","1",4.81000753831319,27.5159358935087,24
"38","Corse","2",38.8115817857322,27.5159358935087,24
"39","Corse","3",56.3784106759546,27.5159358935087,24
