"","Y4PCSIST","Y4CERTST","pct","n","unweighted_n"
"1","Agriculteur exploitant, artisan, commerçant, chef d'entreprise","1",10.2203047209248,491.036476984955,326
"2","Agriculteur exploitant, artisan, commerçant, chef d'entreprise","2",24.8082905008626,491.036476984955,326
"3","Agriculteur exploitant, artisan, commerçant, chef d'entreprise","3",64.9714047782126,491.036476984955,326
"4","Cadre supérieur","1",8.0383103290293,1147.18276360461,1496
"5","Cadre supérieur","2",14.1661573063131,1147.18276360461,1496
"6","Cadre supérieur","3",77.7955323646576,1147.18276360461,1496
"7","Profession intermédiaire","1",10.7096358496814,1679.76112921358,1507
"8","Profession intermédiaire","2",16.4303965741712,1679.76112921358,1507
"9","Profession intermédiaire","3",72.8599675761474,1679.76112921358,1507
"10","Employé","1",13.8275420483453,1776.70160350491,1815
"11","Employé","2",20.14890021681,1776.70160350491,1815
"12","Employé","3",66.0235577348447,1776.70160350491,1815
"13","Ouvrier","1",13.239648149157,1268.60741062395,1165
"14","Ouvrier","2",20.670072716138,1268.60741062395,1165
"15","Ouvrier","3",66.090279134705,1268.60741062395,1165
"16","Retraité, inactif","1",7.62344617097374,4287.71061606797,4342
"17","Retraité, inactif","2",11.4232961595364,4287.71061606797,4342
"18","Retraité, inactif","3",80.9532576694898,4287.71061606797,4342
