"","Y2REL1ST","Y2CERTST","pct","n","unweighted_n"
"1","Catholique","1",11.8622879320306,5804.44528880348,6112
"2","Catholique","2",51.7937313595633,5804.44528880348,6112
"3","Catholique","3",36.3439807084061,5804.44528880348,6112
"4","Protestante","1",11.3817236816077,221.235790833573,217
"5","Protestante","2",56.7365728704389,221.235790833573,217
"6","Protestante","3",31.8817034479534,221.235790833573,217
"7","Juive","1",8.92814190326787,89.7614162537408,85
"8","Juive","2",70.6825093468977,89.7614162537408,85
"9","Juive","3",20.3893487498345,89.7614162537408,85
"10","Musulmane","1",21.9840657149307,401.017858510672,284
"11","Musulmane","2",60.241015493856,401.017858510672,284
"12","Musulmane","3",17.7749187912134,401.017858510672,284
"13","Bouddhiste","1",19.5088949295027,75.3796575194642,68
"14","Bouddhiste","2",57.9718049766935,75.3796575194642,68
"15","Bouddhiste","3",22.5193000938037,75.3796575194642,68
"16","Autre religion","1",24.4912913460583,189.080213864688,165
"17","Autre religion","2",50.6694880166292,189.080213864688,165
"18","Autre religion","3",24.8392206373125,189.080213864688,165
"19","Sans religion","1",17.3980227640145,4908.05731462209,4758
"20","Sans religion","2",50.6168700538988,4908.05731462209,4758
"21","Sans religion","3",31.9851071820867,4908.05731462209,4758
