"","Y1REL1ST","Y1CERTST","pct","n","unweighted_n"
"1","Catholique","1",12.0120113234597,5368.5190191672,5594
"2","Catholique","2",48.6151872010147,5368.5190191672,5594
"3","Catholique","3",39.3728014755256,5368.5190191672,5594
"4","Protestante","1",10.3715933239208,202.69481392567,201
"5","Protestante","2",57.9722760853961,202.69481392567,201
"6","Protestante","3",31.6561305906831,202.69481392567,201
"7","Juive","1",9.71914939449336,83.4242248815375,74
"8","Juive","2",62.3489286252929,83.4242248815375,74
"9","Juive","3",27.9319219802138,83.4242248815375,74
"10","Musulmane","1",18.5817390784138,362.443564527574,251
"11","Musulmane","2",61.344772220692,362.443564527574,251
"12","Musulmane","3",20.0734887008943,362.443564527574,251
"13","Bouddhiste","1",11.8182953724597,57.8754327941242,55
"14","Bouddhiste","2",68.1787078090053,57.8754327941242,55
"15","Bouddhiste","3",20.002996818535,57.8754327941242,55
"16","Autre religion","1",21.861065078123,172.16771588369,155
"17","Autre religion","2",49.5600648726695,172.16771588369,155
"18","Autre religion","3",28.5788700492075,172.16771588369,155
"19","Sans religion","1",17.3121660932676,4380.31075391512,4297
"20","Sans religion","2",46.9610127528453,4380.31075391512,4297
"21","Sans religion","3",35.7268211538871,4380.31075391512,4297
