"","Y3REL1ST","Y3CERTST","pct","n","unweighted_n"
"1","Catholique","1",8.50146231280212,5736.9938620289,6062
"2","Catholique","2",13.0039315196094,5736.9938620289,6062
"3","Catholique","3",78.4946061675885,5736.9938620289,6062
"4","Protestante","1",8.79785186501743,235.485273317115,228
"5","Protestante","2",17.9685285367851,235.485273317115,228
"6","Protestante","3",73.2336195981975,235.485273317115,228
"7","Juive","1",9.83515324847467,88.7089169308346,85
"8","Juive","2",25.9024011050654,88.7089169308346,85
"9","Juive","3",64.2624456464599,88.7089169308346,85
"10","Musulmane","1",19.9563695055083,352.219277414767,269
"11","Musulmane","2",23.4064867750038,352.219277414767,269
"12","Musulmane","3",56.6371437194879,352.219277414767,269
"13","Bouddhiste","1",15.4061268683406,69.1332205960719,64
"14","Bouddhiste","2",30.671831524698,69.1332205960719,64
"15","Bouddhiste","3",53.9220416069615,69.1332205960719,64
"16","Autre religion","1",20.2687332965573,206.021980111769,180
"17","Autre religion","2",17.6440869768475,206.021980111769,180
"18","Autre religion","3",62.0871797265952,206.021980111769,180
"19","Sans religion","1",13.051770078553,5012.33530100609,4831
"20","Sans religion","2",16.0233144652963,5012.33530100609,4831
"21","Sans religion","3",70.9249154561507,5012.33530100609,4831
