"","Y4AGERST","Y4CERTST","pct","n","unweighted_n"
"1","18 à 34 ans","1",12.9013544350541,2741.36583897436,2138
"2","18 à 34 ans","2",24.2036826362647,2741.36583897436,2138
"3","18 à 34 ans","3",62.8949629286812,2741.36583897436,2138
"4","35 à 59 ans","1",11.765905309158,4147.22863182253,4321
"5","35 à 59 ans","2",16.3257191920732,4147.22863182253,4321
"6","35 à 59 ans","3",71.9083754987688,4147.22863182253,4321
"7","60 ans et plus","1",5.87837078712033,3762.4055292031,4192
"8","60 ans et plus","2",8.76434728832988,3762.4055292031,4192
"9","60 ans et plus","3",85.3572819245498,3762.4055292031,4192
