"","Y3INTPOLST","Y3CERTST","pct","n","unweighted_n"
"1","Oui","1",4.9319920171665,8370.36431475023,8580
"2","Oui","2",11.7024726487395,8370.36431475023,8580
"3","Oui","3",83.365535334094,8370.36431475023,8580
"4","Non","1",26.2607194407412,3399.63568524971,3190
"5","Non","2",23.3692728357119,3399.63568524971,3190
"6","Non","3",50.3700077235469,3399.63568524971,3190
