"","Y3PCSIST","Y3CERTST","pct","n","unweighted_n"
"1","Agriculteur exploitant, artisan, commerçant, chef d'entreprise","1",10.9910991533231,542.620398848469,377
"2","Agriculteur exploitant, artisan, commerçant, chef d'entreprise","2",23.8372255553646,542.620398848469,377
"3","Agriculteur exploitant, artisan, commerçant, chef d'entreprise","3",65.1716752913124,542.620398848469,377
"4","Cadre supérieur","1",7.96622964844382,1267.69898127177,1657
"5","Cadre supérieur","2",12.3590112454106,1267.69898127177,1657
"6","Cadre supérieur","3",79.6747591061456,1267.69898127177,1657
"7","Profession intermédiaire","1",12.1769291392734,1856.22499988337,1672
"8","Profession intermédiaire","2",15.2019689768544,1856.22499988337,1672
"9","Profession intermédiaire","3",72.6211018838722,1856.22499988337,1672
"10","Employé","1",13.4769172277676,1963.34546811216,1872
"11","Employé","2",20.9353457841092,1963.34546811216,1872
"12","Employé","3",65.5877369881233,1963.34546811216,1872
"13","Ouvrier","1",17.2889083176098,1401.87993406682,1153
"14","Ouvrier","2",18.0593133807972,1401.87993406682,1153
"15","Ouvrier","3",64.651778301593,1401.87993406682,1153
"16","Retraité, inactif","1",8.6945405555117,4738.23021781734,5039
"17","Retraité, inactif","2",11.4304961658977,4738.23021781734,5039
"18","Retraité, inactif","3",79.8749632785906,4738.23021781734,5039
